id,name,slug,games_count,image_background
1612,Valve Software,valve-software,44,https://media.rawg.io/media/games/46d/46d98e6910fbc0706e2948a7cc9b10c5.jpg
405,Ubisoft,ubisoft,349,https://media.rawg.io/media/games/5e4/5e4bff02098b2b6f824c68286d5da1a6.jpg
18893,Feral Interactive,feral-interactive,107,https://media.rawg.io/media/screenshots/375/375f84d018242d7519a230f623981217.jpg
3709,Ubisoft Montreal,ubisoft-montreal,121,https://media.rawg.io/media/games/99b/99b39612e864d6ddfdb2c407fd9010a1.jpg
4132,Square Enix,square-enix,370,https://media.rawg.io/media/games/943/9432de383089b0a427a3cdf3687b2b73.jpg
3678,Capcom,capcom,474,https://media.rawg.io/media/games/974/974342a3959981a17bdbbff2fd7f97b0.jpg
109,Electronic Arts,electronic-arts,317,https://media.rawg.io/media/games/776/776e601c2c37f50bb11f9054f54c60da.jpg
17132,Aspyr Media,aspyr-media,71,https://media.rawg.io/media/games/046/0464f4a36cd975a37c95b93b06058855.jpg
6,Sony Interactive Entertainment,sony-interactive-entertainment,527,https://media.rawg.io/media/games/596/596215939911a0d97facfc224b1bca30.jpg
425,SEGA,sega,582,https://media.rawg.io/media/games/31b/31b1a1a45ad7103e52eed8ef658209a2.jpg
4,Bethesda Softworks,bethesda-softworks,63,https://media.rawg.io/media/games/596/596a48ef3b62b63b4cc59633e28be903.jpg
694,Telltale Games,telltale-games,131,https://media.rawg.io/media/games/674/674b67b66f510f5b273f50ca09341ee2.jpg
383,2K,2k,60,https://media.rawg.io/media/games/49c/49c3dfa4ce2f6f140cc4825868e858cb.jpg
3,Warner Bros. Interactive,warner-bros-interactive,79,https://media.rawg.io/media/screenshots/1c9/1c9c69f0edb8c4f45e3fa6958fb8d40a.jpg
386,BANDAI NAMCO Entertainment America,bandai-namco-entertainment-america-inc,138,https://media.rawg.io/media/screenshots/104/104603a5c863d6fa6be4d4bb1fed6db6.jpeg
343,id Software,id-software,90,https://media.rawg.io/media/games/38a/38af969459ad6e5de116ec8a4a84218c.jpg
4015,Gearbox Software,gearbox-software,57,https://media.rawg.io/media/games/4e2/4e2270713ba0d59ea1dba61158ff842e.jpg
436,Devolver Digital,devolver-digital,61,https://media.rawg.io/media/screenshots/2fc/2fc6994425146f9dba3133400b414e29.jpg
4207,Bethesda Game Studios,bethesda-game-studios,41,https://media.rawg.io/media/games/6db/6db2d022f77b1c99116bbf6750ec2c7d.jpg
23342,NVIDIA Lightspeed Studios,nvidia-lightspeed-studios,22,https://media.rawg.io/media/screenshots/a0f/a0f898ff084625c10e7f84058325b2eb.jpg
