id,name,slug,games_count,image_background
4,Action,action,190929,https://media.rawg.io/media/games/120/1201a40e4364557b124392ee50317b99.jpg
3,Adventure,adventure,151116,https://media.rawg.io/media/games/cee/cee577e2097a59b77193fe2bce94667d.jpg
83,Platformer,platformer,100905,https://media.rawg.io/media/games/d5a/d5a24f9f71315427fa6e966fdd98dfa6.jpg
7,Puzzle,puzzle,97372,https://media.rawg.io/media/games/c2e/c2e6ad5c838d551aeff376f1f3d9d65e.jpg
51,Indie,indie,85394,https://media.rawg.io/media/games/9fa/9fa63622543e5d4f6d99aa9d73b043de.jpg
14,Simulation,simulation,76455,https://media.rawg.io/media/games/23b/23b69bfef2a1ce2e3dcdf1aa8ef1150b.jpg
40,Casual,casual,66992,https://media.rawg.io/media/games/b74/b74b15a48ac7bc37fbb42ee4afcc0b91.jpg
10,Strategy,strategy,62134,https://media.rawg.io/media/games/5f4/5f4780690dbf04900cbac5f05b9305f3.jpg
5,RPG,role-playing-games-rpg,61659,https://media.rawg.io/media/games/530/5302dd22a190e664531236ca724e8726.jpg
2,Shooter,shooter,59603,https://media.rawg.io/media/games/b49/b4912b5dbfc7ed8927b65f05b8507f6c.jpg
1,Racing,racing,25726,https://media.rawg.io/media/games/41b/41ba37b6a3e706dc1d27d49afbf0f72a.jpg
11,Arcade,arcade,22672,https://media.rawg.io/media/games/a01/a01b34c722ceec784817381eb1824fa5.jpg
15,Sports,sports,22562,https://media.rawg.io/media/games/1a7/1a77ee44d7e91949aa794597d32c2e28.jpg
34,Educational,educational,15719,https://media.rawg.io/media/games/60a/60a0b8f88184f25621b498c2ee1ebb05.jpg
6,Fighting,fighting,11773,https://media.rawg.io/media/games/ba3/ba3dbf9a5a71913582052d7e12775aea.jpg
28,Board Games,board-games,8389,https://media.rawg.io/media/screenshots/b7c/b7c6fc606964eb21b79ca4de1eb7705c.jpeg
19,Family,family,5409,https://media.rawg.io/media/screenshots/a8c/a8cd58ee985ab6d509370bddada91dbd.jpeg
17,Card,card,4540,https://media.rawg.io/media/screenshots/1be/1be2141edae05d4ba9858182b081e604.jpg
59,Massively Multiplayer,massively-multiplayer,4224,https://media.rawg.io/media/screenshots/848/848253347dc93c762bfd51c7e4989b8f.jpg
